ID,CUST_OPN_DT,NBROPN,AGE,CITY,STATE,PSTL_CD_5,PSTL_CD_4,NBR_OF_CHLD_IN_HH,OCCUP_OF_1ST_INDV,OWN_RENT,PRM_PLUS_LG_OF_RSD,PRM_PLUS_MRTL_STS,PRM_PLUS_PRSNC_OF_CHLD,CHLD_AGE_00_10,CHLD_AGE_11_17,CHLD_AGE_18_24,EDU1,GNDR_OF_1ST_INDV,HH_ADLTS_PE_PLUS_CNT,INCOME,ROLLUP-CDE,AGGR_VEH_MV,HOM_MV,HOUSE_YR_BUILT,MAIL_ORD_BYR,MAIL_RESPONDERS,NBR_OF_VEHS,PRSNC_OF_POOL_FLG,PRPY_TYP,AST_IXI,CDA_ID,CDA_BAL,CHK_ID,CKCOLBAL,CCD_FLG,CCDBAL,SAV_ID,SVCOLBAL,MTG_ID,MTG_TOT_BAL_AMT,EQ_LINE_FLG,HOM_EQTY_LINE_AMT,EQ_LOAN_FLG,HOM_EQTY_LOAN_AMT,OTHER_LOAN_FLG,OTHER_LOAN_BAL,Auto_Flg,AUTO_LOAN_BAL,INV_FLG,INVST_AMT,ATM_FLG,POS_FLG,CSR_FLG,IVR_FLG,WEB_FLG,TLR_FLG,CRV
36802,02/14/2001,4,25,COTTAGE HILLS,IL,62018,1554,0,P,O,2,M,N,,,Y,1,M,2,42000,N,0,B,,B,R,,,A,995,N,,Y,1097.9,1,6896.25,N,,N,0,N,0,N,0,,0,Y,6004.33,N,,Y,Y,NA,NA,Y,Y,-233.13
46475,11/06/1990,1,40,KENNEWICK,WA,99336,6069,0,P,O,15,M,N,,,,1,F,2,15000,N,0,B,1975,,,,,A,912,N,,Y,10283.72,0,,N,,N,0,N,0,N,0,,0,,0,N,,NA,NA,NA,NA,NA,NA,-233
11241,02/24/2004,4,37,ELLENSBURG,WA,98926,9461,0,O,R,3,B,N,,,,1,F,1,23432.64,N,0,E,,B,R,,,A,21909,N,,Y,47.3,0,0,N,,N,0,N,0,N,0,,0,,0,N,,N,Y,NA,Y,Y,Y,-231.72
12611,09/07/2004,4,59,CAMBRIDGE,OH,43725,9046,1,P,O,3,M,Y,,Y,Y,1,M,4,23040,B,160,,,B,R,3,,,44294,N,,Y,3939.33,0,,Y,121.73,N,0,N,0,N,0,,0,,0,N,,Y,Y,NA,Y,Y,Y,-230.91
37098,08/10/1998,2,24,MURRAY,KY,42071,2964,0,P,O,8,S,N,,,Y,1,F,2,112500,N,160,C,,B,R,2,,,50190,N,0,Y,1129.19,0,,N,,N,0,N,0,N,0,,0,,0,N,,Y,Y,NA,Y,NA,Y,-229.98
7552,03/05/2002,4,26,COLORADO SPGS,CO,80909,5719,0,O,R,2,B,N,,,,1,F,1,33999.96,S,0,E,,B,R,,,,12027,N,,Y,1634.13,0,0,Y,1351.43,N,0,N,0,N,0,,0,,0,N,,Y,Y,N,NA,Y,N,-227.68
26152,07/26/1996,3,35,FLORISSANT,MO,63034,2104,1,1,O,7,A,Y,Y,,,1,M,3,35000,Z,20,B,1955,,,1,,A,2885,N,,Y,17.85,0,,N,,N,0,N,0,N,0,,0,,0,N,,Y,NA,NA,Y,NA,Y,-227.03
10349,09/15/2003,2,26,COLORADO SPGS,CO,80923,7361,1,7,R,0,B,Y,Y,,,1,F,1,53100,S,0,,,,,,,,5259,N,,Y,51.2,0,0,N,,N,0,N,0,N,0,,0,,0,N,,Y,Y,NA,N,Y,Y,-225.5
23387,01/01/1978,5,66,COEUR D ALENE,ID,83814,8873,0,2,O,15,S,N,,,,1,M,2,125000,S,90,E,,B,R,1,,,115131,Y,100000,Y,31598.56,1,3126.84,N,,N,0,N,0,N,0,,0,,0,N,,NA,NA,NA,NA,NA,NA,-225.33
11056,01/28/2004,4,51,PEYTON,CO,80831,6717,,O,,0,,,,,,0,,,79999.92,O,0,K,1998,,,,,A,109551,N,,Y,439.67,1,9906.23,N,,N,0,N,0,N,0,,0,,0,N,,NA,Y,NA,NA,Y,Y,-224.37
37668,12/22/1989,6,58,BOONE,IA,50036,4924,0,P,O,6,B,N,,,,1,F,1,87500,N,80,D,,B,R,1,,,11136,N,,Y,6520.96,0,,Y,625.25,N,0,N,0,N,0,,0,,0,N,,Y,NA,NA,NA,Y,Y,-223.95
