ID,CUST_OPN_DT,NBROPN,AGE,CITY,STATE,PSTL_CD_5,PSTL_CD_4,NBR_OF_CHLD_IN_HH,OCCUP_OF_1ST_INDV,OWN_RENT,PRM_PLUS_LG_OF_RSD,PRM_PLUS_MRTL_STS,PRM_PLUS_PRSNC_OF_CHLD,CHLD_AGE_00_10,CHLD_AGE_11_17,CHLD_AGE_18_24,EDU1,GNDR_OF_1ST_INDV,HH_ADLTS_PE_PLUS_CNT,INCOME,ROLLUP-CDE,AGGR_VEH_MV,HOM_MV,HOUSE_YR_BUILT,MAIL_ORD_BYR,MAIL_RESPONDERS,NBR_OF_VEHS,PRSNC_OF_POOL_FLG,PRPY_TYP,AST_IXI,CDA_ID,CDA_BAL,CHK_ID,CKCOLBAL,CCD_FLG,CCDBAL,SAV_ID,SVCOLBAL,MTG_ID,MTG_TOT_BAL_AMT,EQ_LINE_FLG,HOM_EQTY_LINE_AMT,EQ_LOAN_FLG,HOM_EQTY_LOAN_AMT,OTHER_LOAN_FLG,OTHER_LOAN_BAL,Auto_Flg,AUTO_LOAN_BAL,INV_FLG,INVST_AMT,ATM_FLG,POS_FLG,CSR_FLG,IVR_FLG,WEB_FLG,TLR_FLG,CRV
191,10/10/86,1,60,FRESNO,CA,93725,9534,0,P,O,15,M,N,,,,1,M,3,87500,G,0,E,,B,R,2,,M,2570,N,,N,,1,12429.25,N,,N,0,N,0,N,0,,0,,0,N,,NA,NA,NA,NA,NA,NA,861.5
192,1/1/70,3,85,HASTINGS,MN,55033,8729,0,P,O,10,B,N,,,,1,M,1,62500,N,0,M,1986,B,R,,,A,17860,N,,Y,4558.05,0,,N,,N,0,N,0,N,0,,0,,0,N,,NA,NA,NA,NA,NA,NA,35.33
204,12/4/95,1,56,RUSH CITY,MN,55069,2273,0,1,O,8,S,N,,,Y,1,F,1,43999.92,N,70,,1992,B,R,1,,,7688,N,,Y,1257.85,0,,N,,N,0,N,0,N,0,,0,,0,N,,Y,Y,N,Y,NA,Y,39.45
207,10/17/88,2,67,LINCOLN,NE,68505,2719,0,8,O,12,M,N,,,,2,M,2,44999.88,S,120,E,1966,B,R,1,,A,84867,N,,Y,7207.36,0,,N,,N,0,N,0,N,0,,0,,0,N,,NA,NA,NA,NA,NA,NA,32.61
209,2/1/69,1,70,MINDEN,NE,68959,2045,0,P,O,15,A,N,,,,1,M,2,15000,N,180,,,B,R,2,,,165,N,,N,,1,0,N,,N,0,N,0,N,0,,0,,0,N,,NA,NA,NA,NA,NA,NA,30.87
215,10/20/78,1,48,ROMEOVILLE,IL,60446,1726,0,4,O,14,M,N,,,,1,M,2,43401.96,I,0,G,,B,R,1,,A,2823,N,,Y,5356.41,0,,N,,N,0,N,0,N,0,,0,,0,N,,Y,Y,NA,Y,NA,Y,10.59
217,12/12/78,7,55,GREENWOOD VLG,CO,80121,1517,1,2,O,4,M,Y,,Y,Y,3,M,2,125000,N,260,R,1963,B,R,2,,A,641608,N,,Y,605.09,0,,Y,1572.46,N,0,Y,0,N,0,,0,,0,N,,Y,Y,NA,Y,Y,Y,-94.66
218,8/17/90,7,73,COLORADO SPGS,CO,80920,5914,0,O,O,1,A,N,,,,1,M,2,62500,N,30,,,,,1,,,139893,Y,43000,Y,303.8,1,0,N,,N,0,N,0,N,0,,0,,0,N,,NA,NA,NA,Y,NA,Y,-202.33
225,4/3/92,4,82,DES MOINES,IA,50312,4348,0,P,O,15,S,N,,,,3,F,1,36000,G,30,E,,B,R,1,,,82571,N,,Y,6175.34,1,414.27,Y,1218.24,N,0,N,0,N,0,,0,,0,N,,NA,NA,NA,NA,NA,NA,96.23
229,1/1/78,4,49,CHICAGO,IL,60612,2940,,Q,,0,,,,,,0,,,,,0,,,,,,,,259,N,,Y,1392.9,0,0,Y,2023.65,N,0,N,0,N,0,,0,,0,N,,Y,Y,NA,Y,NA,Y,67.02
237,11/17/86,1,64,CODY,WY,82414,9237,0,P,O,5,B,N,,,,1,M,1,25000,H,70,,,B,R,,,,473,N,,Y,1573.01,0,,N,,N,0,N,0,N,0,,0,,0,N,,NA,NA,NA,NA,NA,NA,51.17
248,3/3/95,1,44,NEWBERG,OR,97132,9146,3,5,O,15,M,Y,Y,Y,,1,M,2,62500,I,200,L,1990,B,R,2,Y,A,12867,N,,N,,0,,N,,N,0,N,0,N,0,,0,,0,N,,NA,NA,NA,NA,NA,NA,7.96
251,10/1/74,1,68,FREMONT,NE,68025,4711,0,1,O,15,M,N,,,,1,M,2,35000,N,110,,,B,R,2,,,27049,N,,Y,7274.68,0,,N,,N,0,N,0,N,0,,0,,0,N,,Y,Y,NA,Y,NA,Y,56.23
256,5/19/94,1,,LIVONIA,MI,48152,2683,,,,0,,,,,,0,,,,,0,,,,,,,,202364,N,,N,,1,22629.62,N,,N,0,N,0,N,0,,0,,0,N,,NA,NA,NA,NA,NA,NA,1473.64
280,11/1/84,1,58,WASHINGTON,IL,61571,9205,1,Z,O,15,M,Y,,Y,,1,M,4,87500,G,0,F,,B,R,,,A,149100,N,,N,,1,0,N,,N,0,N,0,N,0,,0,,0,N,,NA,NA,NA,NA,NA,NA,7.74
288,1/14/91,3,81,MINNEAPOLIS,MN,55404,4447,0,P,R,7,B,N,,,,1,F,1,15000,N,0,,,B,R,,,,101043,Y,48453.78,Y,24.99,0,,Y,17308.62,N,0,N,0,N,0,,0,,0,Y,0,NA,NA,Y,NA,NA,Y,757.59
290,3/8/96,1,56,CHARLOTTE,MI,48813,8831,0,D,O,9,M,N,,,,1,M,2,62500,N,150,E,,B,R,1,,,33955,N,,N,,1,1207.58,N,,N,0,N,0,N,0,,0,,0,N,,NA,NA,NA,NA,NA,NA,259.9
294,2/19/85,1,78,CHEYENNE,WY,82009,2513,0,8,O,15,M,N,,,,1,M,2,62500,U,80,H,1981,B,R,1,,A,208468,N,,N,,1,302.78,N,,N,0,N,0,N,0,,0,,0,N,,NA,NA,NA,NA,NA,NA,8.82
297,11/9/89,2,38,DENVER,CO,80231,4133,0,O,O,2,B,N,,,,1,F,1,125000,N,230,J,1973,B,R,,,A,167851,N,,Y,2662.99,0,,N,,N,0,N,0,N,0,,0,,0,N,,Y,Y,NA,NA,N,N,-69.1
298,8/1/74,5,56,GREENWOOD,NE,68366,0178,0,,O,15,B,N,,,,1,M,1,36399.96,N,0,D,,B,R,,,,6647,N,,Y,1087.6,1,3755.96,N,,N,0,N,0,Y,13683.12,,0,,0,N,,Y,Y,NA,NA,NA,Y,1949.73
307,4/1/76,2,52,MANKATO,MN,56001,3221,1,P,O,15,M,Y,Y,,,1,M,2,87500,G,160,E,,B,R,2,,,32764,N,,Y,827.25,0,,Y,3009.49,N,0,N,0,N,0,,0,,0,N,,NA,NA,NA,NA,NA,NA,-37.62
313,5/31/89,1,62,CHEYENNE,WY,82009,9644,0,3,O,15,M,N,,,,1,M,5,77012.04,N,390,N,1989,B,R,3,,A,89734,N,,Y,3107.29,0,,N,,N,0,N,0,N,0,,0,,0,N,,Y,Y,NA,Y,N,Y,115.05
321,3/1/81,1,56,NASHUA,IA,50658,0342,1,,O,15,A,Y,,Y,,1,M,2,25000,G,130,,,B,R,1,,,38,N,,N,,1,2588.94,N,,N,0,N,0,N,0,,0,,0,N,,NA,NA,NA,NA,NA,NA,97.32
322,11/30/93,2,54,ABERDEEN,SD,57401,7434,0,3,O,15,M,N,,,,2,M,2,60000.96,G,90,C,,B,R,1,,,23087,N,,Y,50,0,0,N,,N,0,Y,108834.81,N,0,,0,,0,N,,NA,NA,NA,NA,NA,Y,2064.64
323,12/22/82,1,53,LONE TREE,CO,80124,4204,0,O,O,8,B,N,,,,3,M,1,150006,N,1050,O,1994,B,R,2,,A,163461,N,,N,,1,0,N,,N,0,N,0,N,0,,0,,0,N,,NA,NA,NA,NA,NA,NA,-30.17
325,4/1/75,2,78,MILES CITY,MT,59301,5217,,P,,0,,,,,,0,,,,G,0,D,,,,,,,34639,N,,Y,1438,0,,N,,N,0,N,0,N,0,,0,,0,N,,NA,NA,NA,NA,NA,Y,-57.97
337,2/27/46,5,87,RAPID CITY,SD,57702,4204,0,O,O,9,S,N,,,,1,M,1,35000,D,20,E,,B,R,1,,,85596,Y,66562.04,Y,8279.12,0,0,Y,89364.94,N,0,N,0,N,0,,0,,0,Y,0,NA,NA,NA,NA,NA,Y,3292.31
339,11/1/82,2,49,WAYZATA,MN,55391,9318,0,7,O,15,M,N,,,,1,M,2,125000,N,0,L,1951,B,R,,,A,317434,N,,N,,1,1243.27,Y,10570.63,N,0,N,0,N,0,,0,,0,N,,NA,NA,NA,NA,NA,Y,160.84
342,2/25/94,4,59,STILLWATER,MN,55082,5423,0,2,O,15,M,N,,,,2,F,2,112500,N,340,K,1973,B,R,1,,A,135320,N,,Y,21283.01,1,1282.16,Y,318.14,N,0,N,0,N,0,,0,,0,N,,NA,NA,NA,NA,NA,Y,825.93
343,3/26/84,3,61,EDEN PRAIRIE,MN,55347,3121,0,O,O,1,B,N,,,,3,F,1,19999.92,N,180,L,2002,B,R,2,,B,71288,N,,Y,694.35,0,0,Y,54229.38,N,0,N,0,N,0,,0,,0,N,,N,NA,NA,NA,NA,Y,1259.7
353,8/22/88,1,52,HAYDEN,CO,81639,1047,0,2,O,12,M,N,,,,1,M,2,125000,S,260,F,,B,R,2,,,773,N,,N,,1,12340.13,N,,N,0,N,0,N,0,,0,,0,N,,NA,NA,NA,NA,NA,NA,742.18
354,1/1/66,7,70,VIRGINIA,MN,55792,2424,0,1,O,15,M,N,,,,1,M,3,25000,N,300,D,,B,R,2,,E,32091,N,,Y,3782.78,1,3693.92,Y,69159.45,N,0,N,0,N,0,,0,,0,N,,Y,Y,NA,NA,NA,Y,178.22
356,11/23/88,1,38,JAMESTOWN,ND,58401,1807,1,V,O,1,S,Y,Y,,,1,M,2,79999.92,N,180,D,,B,R,,,,8739,N,,N,,0,,N,,N,0,N,0,N,0,,0,,0,N,,NA,NA,NA,NA,N,Y,183.19
363,7/1/83,3,54,LAKEVILLE,MN,55044,9652,1,O,O,15,M,Y,,Y,Y,1,M,3,112500,N,340,O,1977,B,R,3,,A,86619,N,,Y,11534.01,0,,Y,7573.89,Y,238519.51,N,0,N,0,,0,,0,N,,NA,NA,NA,NA,NA,NA,2531.65
367,11/26/82,2,70,MINNEAPOLIS,MN,55421,2221,0,1,O,15,M,N,,,,1,M,2,25000,N,190,H,1960,,,1,,A,69852,Y,86608.59,N,,0,,N,,N,0,N,0,N,0,,0,,0,N,,NA,NA,NA,NA,NA,Y,131.39
